NAME	DESCRIPTION
FBN1	ENSG00000166147
RPS23	ENSG00000186468
RPL39	ENSG00000198918
HLA-C	ENSG00000204525
PTMA	ENSG00000187514
COL4A1	ENSG00000187498
HLA-DRA	ENSG00000204287
COL6A1	ENSG00000142156
RPL35	ENSG00000136942
EIF4G2	ENSG00000110321
RPS4X	ENSG00000198034
RPL30	ENSG00000156482
GLUL	ENSG00000135821
DHCR24	ENSG00000116133
C3	ENSG00000125730
GNAS	ENSG00000087460
RPL21	ENSG00000122026
ADAR	ENSG00000160710
TPM4	ENSG00000167460
RPL6	ENSG00000089009
YWHAZ	ENSG00000164924
VMP1	ENSG00000062716
SERF2	ENSG00000140264
RPS27A	ENSG00000143947
SPTBN1	ENSG00000115306
RPL27	ENSG00000131469
RPL18	ENSG00000063177
S100A8	ENSG00000143546
TUBA1B	ENSG00000123416
COL4A2	ENSG00000134871
RPL10A	ENSG00000198755
PRKDC	ENSG00000253729
PGK1	ENSG00000102144
HNRNPU	ENSG00000153187
MUC1	ENSG00000185499
ITGB1	ENSG00000150093
EPPK1	ENSG00000261150
CD44	ENSG00000026508
FAT1	ENSG00000083857
TUBB	ENSG00000196230
SDC1	ENSG00000115884
MT-ND4L	ENSG00000212907
ENO1	ENSG00000074800
MT-ND3	ENSG00000198840
TMBIM6	ENSG00000139644
RPL26	ENSG00000161970
RPS9	ENSG00000170889
RPL11	ENSG00000142676
HUWE1	ENSG00000086758
ASPH	ENSG00000198363
NME2	ENSG00000243678
SPTAN1	ENSG00000197694
RPL9	ENSG00000163682
PRRC2C	ENSG00000117523
SON	ENSG00000159140
SMG1	ENSG00000157106
NMNAT3	ENSG00000163864
PSMD3	ENSG00000108344
TLN1	ENSG00000137076
MXRA5	ENSG00000101825
PLXNB2	ENSG00000196576
SPINT2	ENSG00000167642
HSPA5	ENSG00000044574
RPS5	ENSG00000083845
RPL37	ENSG00000145592
THBS2	ENSG00000186340
RPL36	ENSG00000130255
RPL29	ENSG00000162244
COL11A1	ENSG00000060718
FGB	ENSG00000171564
DST	ENSG00000151914
KIAA0100	ENSG00000007202
IQGAP1	ENSG00000140575
RPL35A	ENSG00000182899
MIEN1	ENSG00000141741
HNRNPA1	ENSG00000135486
TMEM45A	ENSG00000181458
APOE	ENSG00000130203
HSP90B1	ENSG00000166598
ATP1A1	ENSG00000163399
RPL24	ENSG00000114391
CD63	ENSG00000135404
CSDE1	ENSG00000009307
NUMA1	ENSG00000137497
LDHA	ENSG00000134333
RPLP2	ENSG00000177600
HLA-E	ENSG00000204592
SQSTM1	ENSG00000161011
CDH1	ENSG00000039068
EIF4G1	ENSG00000114867
RPL34	ENSG00000109475
UBR4	ENSG00000127481
RPS25	ENSG00000118181
GSN	ENSG00000148180
MLLT6	ENSG00000275023
S100A6	ENSG00000197956
CTNNB1	ENSG00000168036
KRT18	ENSG00000111057
APLP2	ENSG00000084234
CFL1	ENSG00000172757
ORMDL3	ENSG00000172057
RPS15	ENSG00000115268
SPP1	ENSG00000118785
KRT7	ENSG00000135480
IGFBP4	ENSG00000141753
LAMA5	ENSG00000130702
HNRNPA2B1	ENSG00000122566
CFLAR	ENSG00000003402
TNS1	ENSG00000079308
MMP14	ENSG00000157227
NOTCH2	ENSG00000134250
MMP11	ENSG00000099953
KMT2C	ENSG00000055609
OAZ1	ENSG00000104904
RPL28	ENSG00000108107
ACTN4	ENSG00000130402
BLOC1S6	ENSG00000104164
TNRC18	ENSG00000182095
LASP1	ENSG00000002834
MMP2	ENSG00000087245
PCBP2	ENSG00000197111
ARF1	ENSG00000143761
FAM241A	ENSG00000174749
C1S	ENSG00000182326
NBPF14	ENSG00000270629
IFI6	ENSG00000126709
CRIP1	ENSG00000213145
LENG8	ENSG00000167615
RRBP1	ENSG00000125844
GRB7	ENSG00000141738
RHOA	ENSG00000067560
FAU	ENSG00000149806
AHNAK2	ENSG00000185567
H3F3A	ENSG00000163041
SEC16A	ENSG00000148396
CHD4	ENSG00000111642
CCDC80	ENSG00000091986
EIF4A1	ENSG00000161960
CALD1	ENSG00000122786
TAGLN2	ENSG00000158710
COX6C	ENSG00000164919
HNRNPH1	ENSG00000169045
SYNE2	ENSG00000054654
COL18A1	ENSG00000182871
LUM	ENSG00000139329
HIST1H1C	ENSG00000187837
RPL14	ENSG00000188846
RPN1	ENSG00000163902
EEF1D	ENSG00000104529
PDIA3	ENSG00000167004
CTNND1	ENSG00000198561
RPL38	ENSG00000172809
NPM1	ENSG00000181163
TPM1	ENSG00000140416
YBX1	ENSG00000065978
H2AFY	ENSG00000113648
TTC3	ENSG00000182670
STAT1	ENSG00000115415
NOTCH3	ENSG00000074181
UTRN	ENSG00000152818
WNK1	ENSG00000060237
TXNIP	ENSG00000265972
GOLGB1	ENSG00000173230
KMT2D	ENSG00000167548
BGN	ENSG00000182492
PIGN	ENSG00000197563
RPS29	ENSG00000213741
TAOK1	ENSG00000160551
TIMP3	ENSG00000100234
FGG	ENSG00000171557
SNRNP200	ENSG00000144028
AKAP13	ENSG00000170776
VEGFA	ENSG00000112715
ATP5F1B	ENSG00000110955
LGALS3BP	ENSG00000108679
PRPF8	ENSG00000174231
IGF2R	ENSG00000197081
COPA	ENSG00000122218
IGFBP7	ENSG00000163453
HSPB1	ENSG00000106211
AGRN	ENSG00000188157
CD46	ENSG00000117335
MLPH	ENSG00000115648
MAP4	ENSG00000047849
FSTL1	ENSG00000163430
SF3B1	ENSG00000115524
CTNNA1	ENSG00000044115
EIF4B	ENSG00000063046
PALLD	ENSG00000129116
H3F3B	ENSG00000132475
VCP	ENSG00000165280
CD81	ENSG00000110651
EEF1B2	ENSG00000114942
NCL	ENSG00000115053
LPP	ENSG00000145012
GPI	ENSG00000105220
C4A	ENSG00000244731
ACTN1	ENSG00000072110
CAPN2	ENSG00000162909
EZR	ENSG00000092820
LAMB1	ENSG00000091136
C1orf43	ENSG00000143612
CCND1	ENSG00000110092
EIF3C	ENSG00000184110
NUFIP2	ENSG00000108256
UBB	ENSG00000170315
ATP5F1A	ENSG00000152234
LMNA	ENSG00000160789
DDX39B	ENSG00000198563
NCOR2	ENSG00000196498
BSG	ENSG00000172270
HNRNPK	ENSG00000165119
SEC61A1	ENSG00000058262
PBX1	ENSG00000185630
MPRIP	ENSG00000133030
SSR2	ENSG00000163479
SFPQ	ENSG00000116560
CD59	ENSG00000085063
MYO18A	ENSG00000196535
PRDX1	ENSG00000117450
UBA1	ENSG00000130985
PARP14	ENSG00000173193
PRRC2A	ENSG00000204469
TAGLN	ENSG00000149591
MCL1	ENSG00000143384
HSPA1A	ENSG00000204389
DDX3X	ENSG00000215301
SETD5	ENSG00000168137
CAPRIN1	ENSG00000135387
CTTN	ENSG00000085733
ZFP36L1	ENSG00000185650
HNRNPC	ENSG00000092199
OGT	ENSG00000147162
MYL12B	ENSG00000118680
ENAH	ENSG00000154380
RPN2	ENSG00000118705
HMGN2	ENSG00000198830
UBR5	ENSG00000104517
RPL36A	ENSG00000241343
PPIB	ENSG00000166794
FBXL20	ENSG00000108306
TRIO	ENSG00000038382
BIRC6	ENSG00000115760
SH3PXD2A	ENSG00000107957
SEPT2	ENSG00000168385
DDB1	ENSG00000167986
GOLGA3	ENSG00000090615
TFF1	ENSG00000160182
CALM2	ENSG00000143933
FADS2	ENSG00000134824
STARD3	ENSG00000131748
TAPBP	ENSG00000231925
TRAF4	ENSG00000076604
LARP1	ENSG00000155506
UBA52	ENSG00000221983
PFN1	ENSG00000108518
PATJ	ENSG00000132849
GPNMB	ENSG00000136235
MAGED2	ENSG00000102316
C4B	ENSG00000224389
MSL1	ENSG00000188895
KDM5B	ENSG00000117139
AKT1	ENSG00000142208
TPM3	ENSG00000143549
NDRG1	ENSG00000104419
IFITM3	ENSG00000142089
HSPD1	ENSG00000144381
RPS13	ENSG00000110700
TANC2	ENSG00000170921
PEG10	ENSG00000242265
CYB561	ENSG00000008283
TGFBI	ENSG00000120708
TNS3	ENSG00000136205
SULF1	ENSG00000137573
ANTXR1	ENSG00000169604
SLC38A1	ENSG00000111371
MIF	ENSG00000240972
NPIPB5	ENSG00000243716
GANAB	ENSG00000089597
NACA	ENSG00000196531
RPAP2	ENSG00000122484
HMGB1	ENSG00000189403
CELSR1	ENSG00000075275
ATP2A2	ENSG00000174437
PSMB3	ENSG00000277791
NBPF19	ENSG00000271383
GNB1	ENSG00000078369
NONO	ENSG00000147140
GTF2I	ENSG00000263001
MDM4	ENSG00000198625
TNC	ENSG00000041982
PDXK	ENSG00000160209
ENSA	ENSG00000143420
SUPT6H	ENSG00000109111
MARCKS	ENSG00000277443
SPG7	ENSG00000197912
SEPT9	ENSG00000184640
PXDN	ENSG00000130508
SMAD2	ENSG00000175387
PGAP3	ENSG00000161395
SLC39A6	ENSG00000141424
MUC19	ENSG00000205592
CEACAM6	ENSG00000086548
TMED10	ENSG00000170348
CAVIN1	ENSG00000177469
ITGB5	ENSG00000082781
SSR4	ENSG00000180879
TNKS1BP1	ENSG00000149115
CTSK	ENSG00000143387
CCT3	ENSG00000163468
FXYD3	ENSG00000089356
TRRAP	ENSG00000196367
TIMP2	ENSG00000035862
CLSTN1	ENSG00000171603
GPRC5A	ENSG00000013588
SCARB2	ENSG00000138760
ERBB3	ENSG00000065361
SFT2D2	ENSG00000213064
GLG1	ENSG00000090863
SLC25A3	ENSG00000075415
XRCC5	ENSG00000079246
PIEZO1	ENSG00000103335
ZKSCAN1	ENSG00000106261
EHMT1	ENSG00000181090
C12orf45	ENSG00000151131
KMT2A	ENSG00000118058
ARHGEF12	ENSG00000196914
ATF4	ENSG00000128272
GSDMB	ENSG00000073605
RBM39	ENSG00000131051
STAT2	ENSG00000170581
GPX4	ENSG00000167468
TRIP12	ENSG00000153827
SREBF1	ENSG00000072310
HNRNPUL1	ENSG00000105323
ASH1L	ENSG00000116539
FARP1	ENSG00000152767
ILF3	ENSG00000129351
MED13L	ENSG00000123066
LGALS1	ENSG00000100097
PDXDC1	ENSG00000179889
TMED2	ENSG00000086598
ZNF207	ENSG00000010244
MYO9B	ENSG00000099331
RBM3	ENSG00000102317
PDGFRB	ENSG00000113721
KIAA1217	ENSG00000120549
KIAA1328	ENSG00000150477
BPTF	ENSG00000171634
VPS13D	ENSG00000048707
EVL	ENSG00000196405
CRABP2	ENSG00000143320
EIF1	ENSG00000173812
SET	ENSG00000119335
MYOF	ENSG00000138119
SYNGR2	ENSG00000108639
PHF12	ENSG00000109118
RHOB	ENSG00000143878
COX4I1	ENSG00000131143
WDR1	ENSG00000071127
MED1	ENSG00000125686
HLA-DRB1	ENSG00000196126
SELENOW	ENSG00000178980
AKAP9	ENSG00000127914
MATR3	ENSG00000015479
CHCHD2	ENSG00000106153
USP22	ENSG00000124422
C16orf72	ENSG00000182831
FUS	ENSG00000089280
ZBED6	ENSG00000257315
STAT3	ENSG00000168610
CLEC3A	ENSG00000166509
RUNX1	ENSG00000159216
S100A11	ENSG00000163191
ACIN1	ENSG00000100813
PDE4DIP	ENSG00000178104
CSNK1A1	ENSG00000113712
ARFGEF3	ENSG00000112379
MAVS	ENSG00000088888
EMP2	ENSG00000213853
IGF1R	ENSG00000140443
EIF3A	ENSG00000107581
MTDH	ENSG00000147649
EP300	ENSG00000100393
PLXDC2	ENSG00000120594
CHD2	ENSG00000173575
PKD1	ENSG00000008710
HP1BP3	ENSG00000127483
TPR	ENSG00000047410
KIAA1324	ENSG00000116299
SNRNP70	ENSG00000104852
HERC1	ENSG00000103657
HNRNPL	ENSG00000104824
HNRNPF	ENSG00000169813
CAP1	ENSG00000131236
USP9X	ENSG00000124486
CAST	ENSG00000153113
HECTD4	ENSG00000173064
KDELR2	ENSG00000136240
SOGA1	ENSG00000149639
PTBP1	ENSG00000011304
LRBA	ENSG00000198589
PHLDB1	ENSG00000019144
EIF5A	ENSG00000132507
TPI1	ENSG00000111669
GPX1	ENSG00000233276
SND1	ENSG00000197157
SLC9A3R1	ENSG00000109062
HTRA1	ENSG00000166033
PDIA4	ENSG00000155660
AHR	ENSG00000106546
ARID1B	ENSG00000049618
DDR1	ENSG00000204580
RAD21	ENSG00000164754
PLXND1	ENSG00000004399
SMARCA4	ENSG00000127616
ERGIC1	ENSG00000113719
HIST2H2AA4	ENSG00000272196
BRD2	ENSG00000204256
SSR3	ENSG00000114850
CHD3	ENSG00000170004
SLC25A6	ENSG00000169100
ANKRD11	ENSG00000167522
GDI2	ENSG00000057608
NUCKS1	ENSG00000069275
SMIM14	ENSG00000163683
ANKRD30A	ENSG00000148513
KTN1	ENSG00000126777
VCL	ENSG00000035403
WSB1	ENSG00000109046
TGOLN2	ENSG00000152291
PFDN5	ENSG00000123349
ILF2	ENSG00000143621
DPYSL3	ENSG00000113657
GUK1	ENSG00000143774
TRIM56	ENSG00000169871
GSE1	ENSG00000131149
KIAA1522	ENSG00000162522
GCN1	ENSG00000089154
LYZ	ENSG00000090382
GATA3	ENSG00000107485
CLIC1	ENSG00000213719
MAGED1	ENSG00000179222
LRRK1	ENSG00000154237
SERBP1	ENSG00000142864
FAM120A	ENSG00000048828
TOR1AIP2	ENSG00000169905
VPS13B	ENSG00000132549
HDGF	ENSG00000143321
CP	ENSG00000047457
MAT2A	ENSG00000168906
CSRP1	ENSG00000159176
SERPINA3	ENSG00000196136
SURF4	ENSG00000148248
NFIC	ENSG00000141905
LRP10	ENSG00000197324
FGFR1	ENSG00000077782
LAMP1	ENSG00000185896
HIST1H4J	ENSG00000197238
CREBBP	ENSG00000005339
MSN	ENSG00000147065
SF3B3	ENSG00000189091
SAT1	ENSG00000130066
MARCKSL1	ENSG00000175130
MLEC	ENSG00000110917
C15orf40	ENSG00000169609
ZMIZ1	ENSG00000108175
IRF2BP2	ENSG00000168264
SEC31A	ENSG00000138674
F11R	ENSG00000158769
JTB	ENSG00000143543
MYO1C	ENSG00000197879
ESYT2	ENSG00000117868
SERPINH1	ENSG00000149257
HIST1H1E	ENSG00000168298
XRCC6	ENSG00000196419
COL16A1	ENSG00000084636
HNRNPA3	ENSG00000170144
IL6ST	ENSG00000134352
COPB2	ENSG00000184432
VWF	ENSG00000110799
DDX6	ENSG00000110367
C6orf62	ENSG00000112308
RPS28	ENSG00000233927
YWHAE	ENSG00000108953
FOXK1	ENSG00000164916
PCSK7	ENSG00000160613
FNDC3B	ENSG00000075420
NSD1	ENSG00000165671
HLA-DPA1	ENSG00000231389
EWSR1	ENSG00000182944
IFI27	ENSG00000165949
ZNF217	ENSG00000171940
EIF3H	ENSG00000147677
CYFIP1	ENSG00000273749
KIF5B	ENSG00000170759
UGGT1	ENSG00000136731
RAN	ENSG00000132341
SFRP2	ENSG00000145423
LAMB2	ENSG00000172037
MORF4L1	ENSG00000185787
MIA3	ENSG00000154305
NQO1	ENSG00000181019
SKP1	ENSG00000113558
SYNE1	ENSG00000131018
RDH10	ENSG00000121039
TXNDC5	ENSG00000239264
AP2B1	ENSG00000006125
PTTG1IP	ENSG00000183255
AGO2	ENSG00000123908
PSMA7	ENSG00000101182
N4BP2L2	ENSG00000244754
EPRS	ENSG00000136628
NEDD4	ENSG00000069869
CPD	ENSG00000108582
TSC2	ENSG00000103197
FKBP4	ENSG00000004478
LRRFIP1	ENSG00000124831
HM13	ENSG00000101294
ADD1	ENSG00000087274
CPT1A	ENSG00000110090
ATP6V0B	ENSG00000117410
SPAG9	ENSG00000008294
HECTD1	ENSG00000092148
TMEM63A	ENSG00000196187
CNN3	ENSG00000117519
ACTA2	ENSG00000107796
EIF4A2	ENSG00000156976
CDC42	ENSG00000070831
ADAM15	ENSG00000143537
HSPA9	ENSG00000113013
DIDO1	ENSG00000101191
MARCH6	ENSG00000145495
MSI2	ENSG00000153944
BAZ2A	ENSG00000076108
OGA	ENSG00000198408
MYCBP2	ENSG00000005810
ITGAV	ENSG00000138448
CLU	ENSG00000120885
CLIP1	ENSG00000130779
NCOR1	ENSG00000141027
WASF2	ENSG00000158195
RPS26	ENSG00000197728
CALU	ENSG00000128595
KPNA5	ENSG00000196911
C1R	ENSG00000159403
SLC40A1	ENSG00000138449
RPL7L1	ENSG00000146223
ST3GAL1	ENSG00000008513
ZNF587	ENSG00000198466
ITPRIPL2	ENSG00000205730
ATP2B4	ENSG00000058668
ANKLE2	ENSG00000176915
ACLY	ENSG00000131473
GOLGA4	ENSG00000144674
LY6E	ENSG00000160932
ARHGAP35	ENSG00000160007
KLC1	ENSG00000126214
VPS13C	ENSG00000129003
BZW1	ENSG00000082153
MCM3AP	ENSG00000160294
PSMD2	ENSG00000175166
KYNU	ENSG00000115919
MDM2	ENSG00000135679
EIF2S3	ENSG00000130741
OS9	ENSG00000135506
PEX26	ENSG00000215193
PDLIM5	ENSG00000163110
AGO3	ENSG00000126070
GNS	ENSG00000135677
CDC42SE1	ENSG00000197622
MAGT1	ENSG00000102158
PEAK1	ENSG00000173517
SCAF11	ENSG00000139218
ARPC2	ENSG00000163466
PDIA6	ENSG00000143870
CIITA	ENSG00000179583
PARP1	ENSG00000143799
CCNL2	ENSG00000221978
FOSL2	ENSG00000075426
IDH2	ENSG00000182054
NBPF9	ENSG00000269713
CDC42BPB	ENSG00000198752
KDM2A	ENSG00000173120
PTPRS	ENSG00000105426
DLG5	ENSG00000151208
CDK13	ENSG00000065883
TRIM28	ENSG00000130726
TNRC6B	ENSG00000100354
LAMC1	ENSG00000135862
POLR2J3	ENSG00000285437
TOMM20	ENSG00000173726
HERC2	ENSG00000128731
TFRC	ENSG00000072274
ACACA	ENSG00000278540
ARID1A	ENSG00000117713
MED24	ENSG00000008838
CIRBP	ENSG00000099622
ACADVL	ENSG00000072778
BRD4	ENSG00000141867
NAV1	ENSG00000134369
CNOT1	ENSG00000125107
SRSF6	ENSG00000124193
PSMB4	ENSG00000159377
CD9	ENSG00000010278
JUP	ENSG00000173801
SORL1	ENSG00000137642
SF1	ENSG00000168066
SDHC	ENSG00000143252
EIF2AK2	ENSG00000055332
ECE1	ENSG00000117298
NKTR	ENSG00000114857
LONP2	ENSG00000102910
APOC1	ENSG00000130208
H1F0	ENSG00000189060
PTK7	ENSG00000112655
STOM	ENSG00000148175
HIPK2	ENSG00000064393
MX1	ENSG00000157601
CALML5	ENSG00000178372
RANBP2	ENSG00000153201
CTDSP2	ENSG00000175215
SPEN	ENSG00000065526
MORF4L2	ENSG00000123562
MYL12A	ENSG00000101608
PPT1	ENSG00000131238
RPL22	ENSG00000116251
LUC7L3	ENSG00000108848
CYB5A	ENSG00000166347
ALCAM	ENSG00000170017
FAM129B	ENSG00000136830
BRWD1	ENSG00000185658
TBC1D9B	ENSG00000197226
CDH11	ENSG00000140937
ZNFX1	ENSG00000124201
PPP1R1B	ENSG00000131771
MICAL2	ENSG00000133816
USP34	ENSG00000115464
ABHD2	ENSG00000140526
TMEM59	ENSG00000116209
COL10A1	ENSG00000123500
YWHAQ	ENSG00000134308
CALM1	ENSG00000198668
EIF3B	ENSG00000106263
GTF3C1	ENSG00000077235
GRN	ENSG00000030582
ATM	ENSG00000149311
CYTH2	ENSG00000105443
TACSTD2	ENSG00000184292
HIST2H4A	ENSG00000270882
RHOC	ENSG00000155366
RAC1	ENSG00000136238
LAPTM4B	ENSG00000104341
TOP2A	ENSG00000131747
RBBP4	ENSG00000162521
MAZ	ENSG00000103495
DSTN	ENSG00000125868
HIST1H1B	ENSG00000184357
POLR2A	ENSG00000181222
DDX42	ENSG00000198231
DNM2	ENSG00000079805
NDUFS1	ENSG00000023228
SYAP1	ENSG00000169895
AGR2	ENSG00000106541
AFF4	ENSG00000072364
PPDPF	ENSG00000125534
KDM5C	ENSG00000126012
SUGP2	ENSG00000064607
ESR1	ENSG00000091831
TTN	ENSG00000155657
ACTR2	ENSG00000138071
GALNT10	ENSG00000164574
KPNB1	ENSG00000108424
RREB1	ENSG00000124782
TBL1XR1	ENSG00000177565
HSPA1B	ENSG00000204388
CCNI	ENSG00000118816
YWHAB	ENSG00000166913
BTF3	ENSG00000145741
MDN1	ENSG00000112159
TUG1	ENSG00000253352
STARD10	ENSG00000214530
ANKHD1	ENSG00000131503
STAC2	ENSG00000141750
CBX5	ENSG00000094916
SZT2	ENSG00000198198
ANXA6	ENSG00000197043
PLXNA3	ENSG00000130827
ADNP	ENSG00000101126
PHC3	ENSG00000173889
NPLOC4	ENSG00000182446
SOX4	ENSG00000124766
HYOU1	ENSG00000149428
CLDN4	ENSG00000189143
COX6A1	ENSG00000111775
MBTPS1	ENSG00000140943
NF1	ENSG00000196712
PPP2R1A	ENSG00000105568
TMEM132A	ENSG00000006118
SRSF3	ENSG00000112081
CCT5	ENSG00000150753
SLC35E3	ENSG00000175782
AFDN	ENSG00000130396
TSC22D1	ENSG00000102804
B4GALT1	ENSG00000086062
ANKRD17	ENSG00000132466
WDFY3	ENSG00000163625
YIPF4	ENSG00000119820
ADAM10	ENSG00000137845
G3BP1	ENSG00000145907
CASC3	ENSG00000108349
ANAPC5	ENSG00000089053
CHD6	ENSG00000124177
TMEM123	ENSG00000152558
CSNK2A1	ENSG00000101266
S100A14	ENSG00000189334
JAK1	ENSG00000162434
NDST1	ENSG00000070614
ALDH2	ENSG00000111275
HTT	ENSG00000197386
OAS3	ENSG00000111331
INF2	ENSG00000203485
EPN1	ENSG00000063245
SRCAP	ENSG00000080603
BCL9L	ENSG00000186174
TNFSF10	ENSG00000121858
CD164	ENSG00000135535
ABCA1	ENSG00000165029
MAP4K4	ENSG00000071054
CHD8	ENSG00000100888
FOXP1	ENSG00000114861
COPG1	ENSG00000181789
PRKAR1A	ENSG00000108946
ARHGDIA	ENSG00000141522
CTSS	ENSG00000163131
CREB3L2	ENSG00000182158
MUCL1	ENSG00000172551
LGMN	ENSG00000100600
KLF6	ENSG00000067082
SF3B2	ENSG00000087365
KIAA1109	ENSG00000138688
MAPKAPK2	ENSG00000162889
PTK2	ENSG00000169398
JPT2	ENSG00000206053
PECAM1	ENSG00000261371
TYMP	ENSG00000025708
CERS2	ENSG00000143418
ZFP36L2	ENSG00000152518
AP3D1	ENSG00000065000
DCAF8	ENSG00000132716
UBAP2L	ENSG00000143569
LAPTM4A	ENSG00000068697
HMGN1	ENSG00000205581
CEP350	ENSG00000135837
METTL21A	ENSG00000144401
MAP1B	ENSG00000131711
LMAN2	ENSG00000169223
USP8	ENSG00000138592
SPARCL1	ENSG00000152583
WDR26	ENSG00000162923
PFKFB3	ENSG00000170525
NCOA4	ENSG00000266412
TUBB4B	ENSG00000188229
AES	ENSG00000104964
KAT6B	ENSG00000156650
ARPC4	ENSG00000241553
TMED3	ENSG00000166557
GALNT6	ENSG00000139629
SSR1	ENSG00000124783
ATP9B	ENSG00000166377
CFB	ENSG00000243649
LAMA4	ENSG00000112769
IARS	ENSG00000196305
FGA	ENSG00000171560
INTS3	ENSG00000143624
STT3B	ENSG00000163527
RCC2	ENSG00000179051
GNB2	ENSG00000172354
TCF25	ENSG00000141002
PGAM1	ENSG00000171314
CNDP2	ENSG00000133313
MORC4	ENSG00000133131
POGZ	ENSG00000143442
EIF4EBP2	ENSG00000148730
AAK1	ENSG00000115977
MLXIP	ENSG00000175727
LRRC59	ENSG00000108829
KANSL1	ENSG00000120071
PSMA6	ENSG00000100902
ITM2B	ENSG00000136156
SELENOP	ENSG00000250722
ELF3	ENSG00000163435
DDOST	ENSG00000244038
PTP4A2	ENSG00000184007
FAM84B	ENSG00000168672
EPAS1	ENSG00000116016
ZZEF1	ENSG00000074755
APOL6	ENSG00000221963
NUPR1	ENSG00000176046
CILP	ENSG00000138615
ATL3	ENSG00000184743
TSPAN14	ENSG00000108219
NFE2L1	ENSG00000082641
PI4KA	ENSG00000241973
SVIL	ENSG00000197321
CRYBG1	ENSG00000112297
NSD3	ENSG00000147548
ARPC5	ENSG00000162704
SRSF5	ENSG00000100650
ITPR1	ENSG00000150995
MED13	ENSG00000108510
ERGIC3	ENSG00000125991
MGAT1	ENSG00000131446
NBEAL2	ENSG00000160796
